Nitrogen,Phosphorus,Potassium,Temperature,pH,Rainfall,Crop,Fertilizer
105,40,50,25,6,800,Cotton,DAP
110,40,50,25,6,800,Cotton,DAP
115,40,50,25,6,800,Cotton,DAP
120,40,50,25,6,800,Cotton,DAP
125,40,50,25,6,800,Cotton,DAP
130,40,50,25,6,800,Cotton,DAP
135,40,50,25,6,800,Cotton,DAP
140,40,50,25,6,800,Cotton,DAP
145,40,50,25,6,800,Cotton,DAP
150,40,50,25,6,800,Cotton,DAP
100,40,50,25,6,800,Cotton,DAP
105,45,55,30,6.5,900,Cotton,DAP
110,45,55,30,6.5,900,Cotton,DAP
115,45,55,30,6.5,900,Cotton,DAP
120,45,55,30,6.5,900,Cotton,DAP
125,45,55,30,6.5,900,Cotton,DAP
130,45,55,30,6.5,900,Cotton,DAP
135,45,55,30,6.5,900,Cotton,DAP
140,45,55,30,6.5,900,Cotton,DAP
145,45,55,30,6.5,900,Cotton,DAP
150,45,55,30,6.5,900,Cotton,DAP
100,45,55,30,6.5,900,Cotton,DAP
105,50,60,35,7,1000,Cotton,DAP
110,50,60,35,7,1000,Cotton,DAP
115,50,60,35,7,1000,Cotton,DAP
120,50,60,35,7,1000,Cotton,DAP
125,50,60,35,7,1000,Cotton,DAP
130,50,60,35,7,1000,Cotton,DAP
135,50,60,35,7,1000,Cotton,DAP
140,50,60,35,7,1000,Cotton,DAP
145,50,60,35,7,1000,Cotton,DAP
150,50,60,35,7,1000,Cotton,DAP
100,50,60,35,7,1000,Cotton,DAP
105,55,65,25,7.5,800,Cotton,DAP
110,55,65,25,7.5,800,Cotton,DAP
115,55,65,25,7.5,800,Cotton,DAP
120,55,65,25,7.5,800,Cotton,DAP
125,55,65,25,7.5,800,Cotton,DAP
130,55,65,25,7.5,800,Cotton,DAP
135,55,65,25,7.5,800,Cotton,DAP
140,55,65,25,7.5,800,Cotton,DAP
145,55,65,25,7.5,800,Cotton,DAP
150,55,65,25,7.5,800,Cotton,DAP
100,55,65,25,7.5,800,Cotton,DAP
105,60,70,30,6,900,Cotton,DAP
110,60,70,30,6,900,Cotton,DAP
115,60,70,30,6,900,Cotton,DAP
120,60,70,30,6,900,Cotton,DAP
125,60,70,30,6,900,Cotton,DAP
130,60,70,30,6,900,Cotton,DAP
135,60,70,30,6,900,Cotton,DAP
140,60,70,30,6,900,Cotton,DAP
145,60,70,30,6,900,Cotton,DAP
150,60,70,30,6,900,Cotton,DAP
100,60,70,30,6,900,Cotton,DAP
105,40,75,35,6.5,1000,Cotton,DAP
110,40,75,35,6.5,1000,Cotton,DAP
115,40,75,35,6.5,1000,Cotton,DAP
120,40,75,35,6.5,1000,Cotton,DAP
125,40,75,35,6.5,1000,Cotton,DAP
130,40,75,35,6.5,1000,Cotton,DAP
135,40,75,35,6.5,1000,Cotton,DAP
140,40,75,35,6.5,1000,Cotton,DAP
145,40,75,35,6.5,1000,Cotton,DAP
150,40,75,35,6.5,1000,Cotton,DAP
100,40,75,35,6.5,1000,Cotton,DAP
105,45,50,25,6,800,Cotton,Magnesium Sulphate
110,45,50,25,6,800,Cotton,Magnesium Sulphate
115,45,50,25,6,800,Cotton,Magnesium Sulphate
120,45,50,25,6,800,Cotton,Magnesium Sulphate
125,45,50,25,6,800,Cotton,Magnesium Sulphate
130,45,50,25,6,800,Cotton,Magnesium Sulphate
135,45,50,25,6,800,Cotton,Magnesium Sulphate
140,45,50,25,6,800,Cotton,Magnesium Sulphate
145,45,50,25,6,800,Cotton,Magnesium Sulphate
150,45,50,25,6,800,Cotton,Magnesium Sulphate
100,45,50,25,6,800,Cotton,Magnesium Sulphate
105,50,55,30,6.5,900,Cotton,Magnesium Sulphate
110,50,55,30,6.5,900,Cotton,Magnesium Sulphate
115,50,55,30,6.5,900,Cotton,Magnesium Sulphate
120,50,55,30,6.5,900,Cotton,Magnesium Sulphate
125,50,55,30,6.5,900,Cotton,Magnesium Sulphate
130,50,55,30,6.5,900,Cotton,Magnesium Sulphate
135,50,55,30,6.5,900,Cotton,Magnesium Sulphate
140,50,55,30,6.5,900,Cotton,Magnesium Sulphate
145,50,55,30,6.5,900,Cotton,Magnesium Sulphate
150,50,55,30,6.5,900,Cotton,Magnesium Sulphate
100,50,55,30,6.5,900,Cotton,Magnesium Sulphate
105,55,60,35,7,1000,Cotton,Magnesium Sulphate
110,55,60,35,7,1000,Cotton,Magnesium Sulphate
115,55,60,35,7,1000,Cotton,Magnesium Sulphate
